Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,99.459999,99.459999,99.459999,99.459999,99.450783,0
2023-03-01,100.400002,100.400002,100.400002,100.400002,100.400002,0
2023-03-02,100.099998,100.099998,100.099998,100.099998,100.099998,0
2023-03-03,100.900002,100.900002,100.900002,100.900002,100.900002,0
2023-03-06,101.699997,101.699997,101.699997,101.699997,101.699997,0
2023-03-07,101.400002,101.400002,101.400002,101.400002,101.400002,0
2023-03-08,101.099998,101.099998,101.099998,101.099998,101.099998,0
2023-03-09,101.000000,101.000000,101.000000,101.000000,101.000000,0
2023-03-10,99.050003,99.050003,99.050003,99.050003,99.050003,0
2023-03-13,96.769997,96.769997,96.769997,96.769997,96.769997,0
2023-03-14,96.290001,96.290001,96.290001,96.290001,96.290001,0
2023-03-15,96.099998,96.099998,96.099998,96.099998,96.099998,0
2023-03-16,96.459999,96.459999,96.459999,96.459999,96.459999,0
2023-03-17,96.750000,96.750000,96.750000,96.750000,96.750000,0
2023-03-20,95.089996,95.089996,95.089996,95.089996,95.089996,0
2023-03-21,96.680000,96.680000,96.680000,96.680000,96.680000,0
2023-03-22,96.629997,96.629997,96.629997,96.629997,96.629997,0
2023-03-23,96.029999,96.029999,96.029999,96.029999,96.029999,0
2023-03-24,94.860001,94.860001,94.860001,94.860001,94.860001,0
2023-03-27,95.860001,95.860001,95.860001,95.860001,95.860001,0
2023-03-28,95.669998,95.669998,95.669998,95.669998,95.669998,0
2023-03-29,96.489998,96.489998,96.489998,96.489998,96.489998,0
2023-03-30,98.110001,98.110001,98.110001,98.110001,98.110001,0
2023-03-31,97.919998,97.919998,97.919998,97.919998,97.919998,0
2023-04-03,98.870003,98.870003,98.870003,98.870003,98.870003,0
2023-04-04,97.930000,97.930000,97.930000,97.930000,97.930000,0
2023-04-05,96.650002,96.650002,96.650002,96.650002,96.650002,0
2023-04-06,95.559998,95.559998,95.559998,95.559998,95.559998,0
2023-04-11,96.400002,96.400002,96.400002,96.400002,96.400002,0
2023-04-12,97.400002,97.400002,97.400002,97.400002,97.400002,0
2023-04-13,96.809998,96.809998,96.809998,96.809998,96.809998,0
2023-04-14,97.470001,97.470001,97.470001,97.470001,97.470001,0
2023-04-17,97.300003,97.300003,97.300003,97.300003,97.300003,0
2023-04-18,97.629997,97.629997,97.629997,97.629997,97.629997,0
2023-04-19,96.519997,96.519997,96.519997,96.519997,96.519997,0
2023-04-20,96.620003,96.620003,96.620003,96.620003,96.620003,0
2023-04-21,97.349998,97.349998,97.349998,97.349998,97.349998,0
2023-04-24,97.129997,97.129997,97.129997,97.129997,97.129997,0
2023-04-25,96.709999,96.709999,96.709999,96.709999,96.709999,0
2023-04-26,95.629997,95.629997,95.629997,95.629997,95.629997,0
2023-04-27,95.949997,95.949997,95.949997,95.949997,95.949997,0
2023-04-28,96.169998,96.169998,96.169998,96.169998,96.169998,0
2023-05-02,97.180000,97.180000,97.180000,97.180000,97.180000,0
2023-05-03,96.620003,96.620003,96.620003,96.620003,96.620003,0
2023-05-04,95.940002,95.940002,95.940002,95.940002,95.940002,0
2023-05-05,96.489998,96.489998,96.489998,96.489998,96.489998,0
2023-05-09,96.349998,96.349998,96.349998,96.349998,96.349998,0
2023-05-10,96.669998,96.669998,96.669998,96.669998,96.669998,0
2023-05-11,97.190002,97.190002,97.190002,97.190002,97.190002,0
2023-05-12,98.620003,98.620003,98.620003,98.620003,98.620003,0
2023-05-15,98.589996,98.589996,98.589996,98.589996,98.589996,0
2023-05-16,98.120003,98.120003,98.120003,98.120003,98.120003,0
2023-05-17,97.849998,97.849998,97.849998,97.849998,97.849998,0
2023-05-18,98.559998,98.559998,98.559998,98.559998,98.559998,0
2023-05-19,99.260002,99.260002,99.260002,99.260002,99.260002,0
2023-05-22,98.980003,98.980003,98.980003,98.980003,98.980003,0
2023-05-23,99.050003,99.050003,99.050003,99.050003,99.050003,0
2023-05-24,97.639999,97.639999,97.639999,97.639999,97.639999,0
2023-05-25,97.269997,97.269997,97.269997,97.269997,97.269997,0
2023-05-26,96.730003,96.730003,96.730003,96.730003,96.730003,0
2023-05-30,97.279999,97.279999,97.279999,97.279999,97.279999,0
2023-05-31,96.800003,96.800003,96.800003,96.800003,96.800003,0
2023-06-01,95.769997,95.769997,95.769997,95.769997,95.769997,0
2023-06-02,97.120003,97.120003,97.120003,97.120003,97.120003,0
2023-06-05,99.980003,99.980003,99.980003,99.980003,99.980003,0
2023-06-06,99.610001,99.610001,99.610001,99.610001,99.610001,0
2023-06-07,99.970001,99.970001,99.970001,99.970001,99.970001,0
2023-06-08,100.199997,100.199997,100.199997,100.199997,100.199997,0
2023-06-09,99.580002,99.580002,99.580002,99.580002,99.580002,0
2023-06-12,99.779999,99.779999,99.779999,99.779999,99.779999,0
2023-06-13,100.599998,100.599998,100.599998,100.599998,100.599998,0
2023-06-14,100.900002,100.900002,100.900002,100.900002,100.900002,0
2023-06-15,100.300003,100.300003,100.300003,100.300003,100.300003,0
2023-06-16,100.400002,100.400002,100.400002,100.400002,100.400002,0
2023-06-19,99.669998,99.669998,99.669998,99.669998,99.669998,0
2023-06-20,99.379997,99.379997,99.379997,99.379997,99.379997,0
2023-06-21,99.519997,99.519997,99.519997,99.519997,99.519997,0
2023-06-22,98.260002,98.260002,98.260002,98.260002,98.260002,0
2023-06-23,97.809998,97.809998,97.809998,97.809998,97.809998,0
2023-06-26,97.470001,97.470001,97.470001,97.470001,97.470001,0
2023-06-27,97.680000,97.680000,97.680000,97.680000,97.680000,0
2023-06-28,99.620003,99.620003,99.620003,99.620003,99.620003,0
2023-06-29,99.180000,99.180000,99.180000,99.180000,99.180000,0
2023-06-30,99.839996,99.839996,99.839996,99.839996,99.839996,0
2023-07-03,100.599998,100.599998,100.599998,100.599998,100.599998,0
2023-07-04,100.000000,100.000000,100.000000,100.000000,100.000000,0
2023-07-05,99.379997,99.379997,99.379997,99.379997,99.379997,0
2023-07-06,97.900002,97.900002,97.900002,97.900002,97.900002,0
2023-07-07,97.419998,97.419998,97.419998,97.419998,97.419998,0
2023-07-10,97.900002,97.900002,97.900002,97.900002,97.900002,0
2023-07-11,97.930000,97.930000,97.930000,97.930000,97.930000,0
2023-07-12,98.669998,98.669998,98.669998,98.669998,98.669998,0
2023-07-13,99.129997,99.129997,99.129997,99.129997,99.129997,0
2023-07-14,98.820000,98.820000,98.820000,98.820000,98.820000,0
2023-07-17,98.709999,98.709999,98.709999,98.709999,98.709999,0
2023-07-18,98.570000,98.570000,98.570000,98.570000,98.570000,0
2023-07-19,100.400002,100.400002,100.400002,100.400002,100.400002,0
2023-07-20,100.599998,100.599998,100.599998,100.599998,100.599998,0
2023-07-21,100.699997,100.699997,100.699997,100.699997,100.699997,0
2023-07-24,100.900002,100.900002,100.900002,100.900002,100.900002,0
2023-07-25,101.099998,101.099998,101.099998,101.099998,101.099998,0
2023-07-26,101.199997,101.199997,101.199997,101.199997,101.199997,0
2023-07-27,101.500000,101.500000,101.500000,101.500000,101.500000,0
2023-07-28,102.000000,102.000000,102.000000,102.000000,102.000000,0
2023-07-31,101.800003,101.800003,101.800003,101.800003,101.800003,0
2023-08-01,101.800003,101.800003,101.800003,101.800003,101.800003,0
2023-08-02,101.099998,101.099998,101.099998,101.099998,101.099998,0
2023-08-03,101.099998,101.099998,101.099998,101.099998,101.099998,0
2023-08-04,100.099998,100.099998,100.099998,100.099998,100.099998,0
2023-08-07,99.830002,99.830002,99.830002,99.830002,99.830002,0
2023-08-08,99.610001,99.610001,99.610001,99.610001,99.610001,0
2023-08-09,99.779999,99.779999,99.779999,99.779999,99.779999,0
2023-08-10,99.330002,99.330002,99.330002,99.330002,99.330002,0
2023-08-11,99.419998,99.419998,99.419998,99.419998,99.419998,0
2023-08-14,99.050003,99.050003,99.050003,99.050003,99.050003,0
2023-08-15,98.519997,98.519997,98.519997,98.519997,98.519997,0
2023-08-16,98.019997,98.019997,98.019997,98.019997,98.019997,0
2023-08-17,97.440002,97.440002,97.440002,97.440002,97.440002,0
2023-08-18,96.500000,96.500000,96.500000,96.500000,96.500000,0
2023-08-21,96.680000,96.680000,96.680000,96.680000,96.680000,0
2023-08-22,96.690002,96.690002,96.690002,96.690002,96.690002,0
2023-08-23,97.510002,97.510002,97.510002,97.510002,97.510002,0
2023-08-24,98.050003,98.050003,98.050003,98.050003,98.050003,0
2023-08-25,97.489998,97.489998,97.489998,97.489998,97.489998,0
2023-08-29,99.290001,99.290001,99.290001,99.290001,99.290001,0
2023-08-30,99.900002,99.900002,99.900002,99.900002,99.900002,0
2023-08-31,100.099998,100.099998,100.099998,100.099998,100.099998,0
2023-09-01,99.949997,99.949997,99.949997,99.949997,99.949997,0
2023-09-04,100.400002,100.400002,100.400002,100.400002,100.400002,0
2023-09-05,100.599998,100.599998,100.599998,100.599998,100.599998,0
2023-09-06,99.080002,99.080002,99.080002,99.080002,99.080002,0
2023-09-07,99.330002,99.330002,99.330002,99.330002,99.330002,0
2023-09-08,98.120003,98.120003,98.120003,98.120003,98.120003,0
2023-09-11,97.889999,97.889999,97.889999,97.889999,97.889999,0
2023-09-12,98.080002,98.080002,98.080002,98.080002,98.080002,0
2023-09-13,97.250000,97.250000,97.250000,97.250000,97.250000,0
2023-09-14,97.989998,97.989998,97.989998,97.989998,97.989998,0
2023-09-15,99.129997,99.129997,99.129997,99.129997,99.129997,0
2023-09-18,98.320000,98.320000,98.320000,98.320000,98.320000,0
2023-09-19,98.379997,98.379997,98.379997,98.379997,98.379997,0
2023-09-20,98.160004,98.160004,98.160004,98.160004,98.160004,0
2023-09-21,97.629997,97.629997,97.629997,97.629997,97.629997,0
2023-09-22,97.050003,97.050003,97.050003,97.050003,97.050003,0
2023-09-25,96.910004,96.910004,96.910004,96.910004,96.910004,0
2023-09-26,96.790001,96.790001,96.790001,96.790001,96.790001,0
2023-09-27,96.099998,96.099998,96.099998,96.099998,96.099998,0
2023-09-28,95.320000,95.320000,95.320000,95.320000,95.320000,0
2023-09-29,96.279999,96.279999,96.279999,96.279999,96.279999,0
2023-10-02,96.300003,96.300003,96.300003,96.300003,96.300003,0
2023-10-03,95.379997,95.379997,95.379997,95.379997,95.379997,0
2023-10-04,93.779999,93.779999,93.779999,93.779999,93.779999,0
2023-10-05,94.610001,94.610001,94.610001,94.610001,94.610001,0
2023-10-06,93.730003,93.730003,93.730003,93.730003,93.730003,0
2023-10-09,93.680000,93.680000,93.680000,93.680000,93.680000,0
2023-10-10,94.529999,94.529999,94.529999,94.529999,94.529999,0
2023-10-11,94.820000,94.820000,94.820000,94.820000,94.820000,0
2023-10-12,95.870003,95.870003,95.870003,95.870003,95.870003,0
2023-10-13,94.540001,94.540001,94.540001,94.540001,94.540001,0
2023-10-16,93.580002,93.580002,93.580002,93.580002,93.580002,0
2023-10-17,94.800003,94.800003,94.800003,94.800003,94.800003,0
2023-10-18,94.150002,94.150002,94.150002,94.150002,94.150002,0
2023-10-19,93.139999,93.139999,93.139999,93.139999,93.139999,0
2023-10-20,91.559998,91.559998,91.559998,91.559998,91.559998,0
2023-10-23,90.250000,90.250000,90.250000,90.250000,90.250000,0
2023-10-24,90.449997,90.449997,90.449997,90.449997,90.449997,0
2023-10-25,91.190002,91.190002,91.190002,91.190002,91.190002,0
2023-10-26,90.080002,90.080002,90.080002,90.080002,90.080002,0
2023-10-27,90.849998,90.849998,90.849998,90.849998,90.849998,0
2023-10-30,90.779999,90.779999,90.779999,90.779999,90.779999,0
2023-10-31,90.959999,90.959999,90.959999,90.959999,90.959999,0
2023-11-01,91.529999,91.529999,91.529999,91.529999,91.529999,0
2023-11-02,92.900002,92.900002,92.900002,92.900002,92.900002,0
2023-11-03,94.260002,94.260002,94.260002,94.260002,94.260002,0
2023-11-06,94.480003,94.480003,94.480003,94.480003,94.480003,0
2023-11-07,94.459999,94.459999,94.459999,94.459999,94.459999,0
2023-11-08,94.419998,94.419998,94.419998,94.419998,94.419998,0
2023-11-09,94.769997,94.769997,94.769997,94.769997,94.769997,0
2023-11-10,94.489998,94.489998,94.489998,94.489998,94.489998,0
2023-11-13,95.019997,95.019997,95.019997,95.019997,95.019997,0
2023-11-14,95.370003,95.370003,95.370003,95.370003,95.370003,0
2023-11-15,97.910004,97.910004,97.910004,97.910004,97.910004,0
2023-11-16,98.160004,98.160004,98.160004,98.160004,98.160004,0
2023-11-17,98.269997,98.269997,98.269997,98.269997,98.269997,0
2023-11-20,98.209999,98.209999,98.209999,98.209999,98.209999,0
2023-11-21,97.800003,97.800003,97.800003,97.800003,97.800003,0
2023-11-22,97.739998,97.739998,97.739998,97.739998,97.739998,0
2023-11-23,97.800003,97.800003,97.800003,97.800003,97.800003,0
2023-11-24,98.040001,98.040001,98.040001,98.040001,98.040001,0
2023-11-27,97.910004,97.910004,97.910004,97.910004,97.910004,0
2023-11-28,97.930000,97.930000,97.930000,97.930000,97.930000,0
2023-11-29,97.680000,97.680000,97.680000,97.680000,97.680000,0
2023-11-30,97.949997,97.949997,97.949997,97.949997,97.949997,0
2023-12-01,98.349998,98.349998,98.349998,98.349998,98.349998,0
2023-12-04,99.089996,99.089996,99.089996,99.089996,99.089996,0
2023-12-05,98.889999,98.889999,98.889999,98.889999,98.889999,0
2023-12-06,99.239998,99.239998,99.239998,99.239998,99.239998,0
2023-12-07,99.730003,99.730003,99.730003,99.730003,99.730003,0
2023-12-08,99.910004,99.910004,99.910004,99.910004,99.910004,0
2023-12-11,100.099998,100.099998,100.099998,100.099998,100.099998,0
2023-12-12,100.900002,100.900002,100.900002,100.900002,100.900002,0
2023-12-13,101.400002,101.400002,101.400002,101.400002,101.400002,0
2023-12-14,102.800003,102.800003,102.800003,102.800003,102.800003,0
2023-12-15,103.500000,103.500000,103.500000,103.500000,103.500000,0
2023-12-18,103.500000,103.500000,103.500000,103.500000,103.500000,0
2023-12-19,103.599998,103.599998,103.599998,103.599998,103.599998,0
2023-12-20,104.800003,104.800003,104.800003,104.800003,104.800003,0
2023-12-21,104.000000,104.000000,104.000000,104.000000,104.000000,0
2023-12-22,104.300003,104.300003,104.300003,104.300003,104.300003,0
2023-12-27,105.099998,105.099998,105.099998,105.099998,105.099998,0
2023-12-28,105.099998,105.099998,105.099998,105.099998,105.099998,0
2023-12-29,105.199997,105.199997,105.199997,105.199997,105.199997,0
